,year,typeOfEmployment,sex,province,numEmployed
205,1981,Full-time employment,Females,Nova Scotia,96.4
206,1981,Full-time employment,Females,Ontario,1288.6
207,1981,Full-time employment,Females,Prince Edward Island,13.8
208,1981,Full-time employment,Females,Quebec,846.1
209,1981,Full-time employment,Females,Saskatchewan,106.8
210,1981,Full-time employment,Males,Alberta,662.3
211,1981,Full-time employment,Males,British Columbia,757.8
212,1981,Full-time employment,Males,Manitoba,255.2
213,1981,Full-time employment,Males,New Brunswick,144.6
214,1981,Full-time employment,Males,Newfoundland and Labrador,117.4
215,1981,Full-time employment,Males,Nova Scotia,184.1
216,1981,Full-time employment,Males,Ontario,2292.5
217,1981,Full-time employment,Males,Prince Edward Island,25.6
218,1981,Full-time employment,Males,Quebec,1598.5
219,1981,Full-time employment,Males,Saskatchewan,244.4
220,1981,Part-time employment ,Females,Alberta,113.6
221,1981,Part-time employment ,Females,British Columbia,158.7
222,1981,Part-time employment ,Females,Manitoba,57.6
223,1981,Part-time employment ,Females,New Brunswick,25.1
224,1981,Part-time employment ,Females,Newfoundland and Labrador,11.3
225,1981,Part-time employment ,Females,Nova Scotia,33.1
226,1981,Part-time employment ,Females,Ontario,451.4
227,1981,Part-time employment ,Females,Prince Edward Island,4.9
228,1981,Part-time employment ,Females,Quebec,233.4
229,1981,Part-time employment ,Females,Saskatchewan,51.9
230,1981,Part-time employment ,Males,Alberta,40.5
231,1981,Part-time employment ,Males,British Columbia,50.1
232,1981,Part-time employment ,Males,Manitoba,21.7
233,1981,Part-time employment ,Males,New Brunswick,12.7
234,1981,Part-time employment ,Males,Newfoundland and Labrador,4.0
235,1981,Part-time employment ,Males,Nova Scotia,13.5
236,1981,Part-time employment ,Males,Ontario,193.1
237,1981,Part-time employment ,Males,Prince Edward Island,2.3
238,1981,Part-time employment ,Males,Quebec,109.9
239,1981,Part-time employment ,Males,Saskatchewan,25.1
240,1982,Full-time employment,Females,Alberta,348.9
241,1982,Full-time employment,Females,British Columbia,370.1
242,1982,Full-time employment,Females,Manitoba,136.7
243,1982,Full-time employment,Females,New Brunswick,74.0
244,1982,Full-time employment,Females,Newfoundland and Labrador,56.2
245,1982,Full-time employment,Females,Nova Scotia,99.2
246,1982,Full-time employment,Females,Ontario,1320.1
247,1982,Full-time employment,Females,Prince Edward Island,13.5
248,1982,Full-time employment,Females,Quebec,826.3
249,1982,Full-time employment,Females,Saskatchewan,112.9
250,1982,Full-time employment,Males,Alberta,670.7
251,1982,Full-time employment,Males,British Columbia,703.9
252,1982,Full-time employment,Males,Manitoba,247.3
253,1982,Full-time employment,Males,New Brunswick,141.0
254,1982,Full-time employment,Males,Newfoundland and Labrador,110.1
255,1982,Full-time employment,Males,Nova Scotia,177.8
256,1982,Full-time employment,Males,Ontario,2280.3
257,1982,Full-time employment,Males,Prince Edward Island,25.5
258,1982,Full-time employment,Males,Quebec,1538.3
259,1982,Full-time employment,Males,Saskatchewan,237.3
260,1982,Part-time employment ,Females,Alberta,127.3
261,1982,Part-time employment ,Females,British Columbia,161.7
262,1982,Part-time employment ,Females,Manitoba,56.9
263,1982,Part-time employment ,Females,New Brunswick,27.4
264,1982,Part-time employment ,Females,Newfoundland and Labrador,13.4
265,1982,Part-time employment ,Females,Nova Scotia,35.0
266,1982,Part-time employment ,Females,Ontario,491.6
267,1982,Part-time employment ,Females,Prince Edward Island,5.7
268,1982,Part-time employment ,Females,Quebec,243.9
269,1982,Part-time employment ,Females,Saskatchewan,55.7
270,1982,Part-time employment ,Males,Alberta,43.0
271,1982,Part-time employment ,Males,British Columbia,62.1
272,1982,Part-time employment ,Males,Manitoba,23.1
273,1982,Part-time employment ,Males,New Brunswick,10.1
274,1982,Part-time employment ,Males,Newfoundland and Labrador,4.2
275,1982,Part-time employment ,Males,Nova Scotia,15.1
276,1982,Part-time employment ,Males,Ontario,192.8
277,1982,Part-time employment ,Males,Prince Edward Island,2.1
278,1982,Part-time employment ,Males,Quebec,115.5
279,1982,Part-time employment ,Males,Saskatchewan,29.0
280,1983,Full-time employment,Females,Alberta,347.5
281,1983,Full-time employment,Females,British Columbia,341.3
282,1983,Full-time employment,Females,Manitoba,136.5
283,1983,Full-time employment,Females,New Brunswick,72.0
284,1983,Full-time employment,Females,Newfoundland and Labrador,55.9
285,1983,Full-time employment,Females,Nova Scotia,93.8
286,1983,Full-time employment,Females,Ontario,1293.1
287,1983,Full-time employment,Females,Prince Edward Island,14.9
288,1983,Full-time employment,Females,Quebec,787.9
289,1983,Full-time employment,Females,Saskatchewan,108.9
290,1983,Full-time employment,Males,Alberta,612.1
291,1983,Full-time employment,Males,British Columbia,643.6
292,1983,Full-time employment,Males,Manitoba,238.4
293,1983,Full-time employment,Males,New Brunswick,134.2
294,1983,Full-time employment,Males,Newfoundland and Labrador,104.8
295,1983,Full-time employment,Males,Nova Scotia,169.6
296,1983,Full-time employment,Males,Ontario,2141.9
297,1983,Full-time employment,Males,Prince Edward Island,25.1
298,1983,Full-time employment,Males,Quebec,1440.5
299,1983,Full-time employment,Males,Saskatchewan,231.5
300,1983,Part-time employment ,Females,Alberta,123.4
301,1983,Part-time employment ,Females,British Columbia,172.3
302,1983,Part-time employment ,Females,Manitoba,62.3
303,1983,Part-time employment ,Females,New Brunswick,30.2
304,1983,Part-time employment ,Females,Newfoundland and Labrador,13.6
305,1983,Part-time employment ,Females,Nova Scotia,39.3
306,1983,Part-time employment ,Females,Ontario,493.6
307,1983,Part-time employment ,Females,Prince Edward Island,5.0
308,1983,Part-time employment ,Females,Quebec,254.5
309,1983,Part-time employment ,Females,Saskatchewan,60.0
310,1983,Part-time employment ,Males,Alberta,51.1
311,1983,Part-time employment ,Males,British Columbia,71.3
312,1983,Part-time employment ,Males,Manitoba,23.4
313,1983,Part-time employment ,Males,New Brunswick,10.3
314,1983,Part-time employment ,Males,Newfoundland and Labrador,5.7
315,1983,Part-time employment ,Males,Nova Scotia,16.7
316,1983,Part-time employment ,Males,Ontario,215.2
317,1983,Part-time employment ,Males,Prince Edward Island,2.4
318,1983,Part-time employment ,Males,Quebec,128.1
319,1983,Part-time employment ,Males,Saskatchewan,29.2
320,1984,Full-time employment,Females,Alberta,346.3
321,1984,Full-time employment,Females,British Columbia,364.3
322,1984,Full-time employment,Females,Manitoba,137.0
323,1984,Full-time employment,Females,New Brunswick,75.0
324,1984,Full-time employment,Females,Newfoundland and Labrador,54.9
325,1984,Full-time employment,Females,Nova Scotia,102.7
326,1984,Full-time employment,Females,Ontario,1349.7
327,1984,Full-time employment,Females,Prince Edward Island,16.1
328,1984,Full-time employment,Females,Quebec,829.1
329,1984,Full-time employment,Females,Saskatchewan,114.3
330,1984,Full-time employment,Males,Alberta,598.8
331,1984,Full-time employment,Males,British Columbia,647.3
332,1984,Full-time employment,Males,Manitoba,246.2
333,1984,Full-time employment,Males,New Brunswick,135.6
334,1984,Full-time employment,Males,Newfoundland and Labrador,101.4
335,1984,Full-time employment,Males,Nova Scotia,176.8
336,1984,Full-time employment,Males,Ontario,2244.3
337,1984,Full-time employment,Males,Prince Edward Island,26.1
338,1984,Full-time employment,Males,Quebec,1500.6
339,1984,Full-time employment,Males,Saskatchewan,231.2
340,1984,Part-time employment ,Females,Alberta,132.6
341,1984,Part-time employment ,Females,British Columbia,158.1
342,1984,Part-time employment ,Females,Manitoba,65.9
343,1984,Part-time employment ,Females,New Brunswick,28.2
344,1984,Part-time employment ,Females,Newfoundland and Labrador,13.4
345,1984,Part-time employment ,Females,Nova Scotia,37.0
346,1984,Part-time employment ,Females,Ontario,514.1
347,1984,Part-time employment ,Females,Prince Edward Island,5.1
348,1984,Part-time employment ,Females,Quebec,273.3
349,1984,Part-time employment ,Females,Saskatchewan,64.0
350,1984,Part-time employment ,Males,Alberta,54.7
351,1984,Part-time employment ,Males,British Columbia,73.3
352,1984,Part-time employment ,Males,Manitoba,26.3
353,1984,Part-time employment ,Males,New Brunswick,12.2
354,1984,Part-time employment ,Males,Newfoundland and Labrador,6.2
355,1984,Part-time employment ,Males,Nova Scotia,16.5
356,1984,Part-time employment ,Males,Ontario,230.3
357,1984,Part-time employment ,Males,Prince Edward Island,2.7
358,1984,Part-time employment ,Males,Quebec,126.9
359,1984,Part-time employment ,Males,Saskatchewan,30.2
360,1985,Full-time employment,Females,Alberta,349.1
361,1985,Full-time employment,Females,British Columbia,381.3
362,1985,Full-time employment,Females,Manitoba,145.0
363,1985,Full-time employment,Females,New Brunswick,76.6
364,1985,Full-time employment,Females,Newfoundland and Labrador,56.7
365,1985,Full-time employment,Females,Nova Scotia,103.7
366,1985,Full-time employment,Females,Ontario,1407.4
367,1985,Full-time employment,Females,Prince Edward Island,15.2
368,1985,Full-time employment,Females,Quebec,847.3
369,1985,Full-time employment,Females,Saskatchewan,119.6
370,1985,Full-time employment,Males,Alberta,607.2
371,1985,Full-time employment,Males,British Columbia,655.4
372,1985,Full-time employment,Males,Manitoba,252.1
373,1985,Full-time employment,Males,New Brunswick,138.0
374,1985,Full-time employment,Males,Newfoundland and Labrador,102.5
375,1985,Full-time employment,Males,Nova Scotia,180.9
376,1985,Full-time employment,Males,Ontario,2337.5
377,1985,Full-time employment,Males,Prince Edward Island,25.7
378,1985,Full-time employment,Males,Quebec,1520.6
379,1985,Full-time employment,Males,Saskatchewan,233.3
380,1985,Part-time employment ,Females,Alberta,149.7
381,1985,Part-time employment ,Females,British Columbia,161.1
382,1985,Part-time employment ,Females,Manitoba,60.4
383,1985,Part-time employment ,Females,New Brunswick,29.2
384,1985,Part-time employment ,Females,Newfoundland and Labrador,14.7
385,1985,Part-time employment ,Females,Nova Scotia,39.5
386,1985,Part-time employment ,Females,Ontario,529.8
387,1985,Part-time employment ,Females,Prince Edward Island,5.9
388,1985,Part-time employment ,Females,Quebec,303.7
389,1985,Part-time employment ,Females,Saskatchewan,61.9
390,1985,Part-time employment ,Males,Alberta,62.5
391,1985,Part-time employment ,Males,British Columbia,69.8
392,1985,Part-time employment ,Males,Manitoba,24.3
393,1985,Part-time employment ,Males,New Brunswick,12.5
394,1985,Part-time employment ,Males,Newfoundland and Labrador,6.2
395,1985,Part-time employment ,Males,Nova Scotia,17.4
396,1985,Part-time employment ,Males,Ontario,216.5
397,1985,Part-time employment ,Males,Prince Edward Island,2.4
398,1985,Part-time employment ,Males,Quebec,129.6
399,1985,Part-time employment ,Males,Saskatchewan,29.8
400,1986,Full-time employment,Females,Alberta,365.3
401,1986,Full-time employment,Females,British Columbia,381.1
402,1986,Full-time employment,Females,Manitoba,150.6
403,1986,Full-time employment,Females,New Brunswick,82.6
404,1986,Full-time employment,Females,Newfoundland and Labrador,60.8
405,1986,Full-time employment,Females,Nova Scotia,104.4
406,1986,Full-time employment,Females,Ontario,1477.8
407,1986,Full-time employment,Females,Prince Edward Island,15.8
408,1986,Full-time employment,Females,Quebec,900.4
409,1986,Full-time employment,Females,Saskatchewan,126.8
410,1986,Full-time employment,Males,Alberta,635.1
411,1986,Full-time employment,Males,British Columbia,677.3
412,1986,Full-time employment,Males,Manitoba,255.1
413,1986,Full-time employment,Males,New Brunswick,143.3
414,1986,Full-time employment,Males,Newfoundland and Labrador,106.3
415,1986,Full-time employment,Males,Nova Scotia,185.6
416,1986,Full-time employment,Males,Ontario,2431.8
417,1986,Full-time employment,Males,Prince Edward Island,26.8
418,1986,Full-time employment,Males,Quebec,1543.1
419,1986,Full-time employment,Males,Saskatchewan,241.1
420,1986,Part-time employment ,Females,Alberta,142.8
421,1986,Part-time employment ,Females,British Columbia,174.4
422,1986,Part-time employment ,Females,Manitoba,65.6
423,1986,Part-time employment ,Females,New Brunswick,30.6
424,1986,Part-time employment ,Females,Newfoundland and Labrador,16.3
425,1986,Part-time employment ,Females,Nova Scotia,43.8
426,1986,Part-time employment ,Females,Ontario,548.9
427,1986,Part-time employment ,Females,Prince Edward Island,6.1
428,1986,Part-time employment ,Females,Quebec,319.1
429,1986,Part-time employment ,Females,Saskatchewan,67.9
430,1986,Part-time employment ,Males,Alberta,53.7
431,1986,Part-time employment ,Males,British Columbia,74.7
432,1986,Part-time employment ,Males,Manitoba,26.0
433,1986,Part-time employment ,Males,New Brunswick,11.7
434,1986,Part-time employment ,Males,Newfoundland and Labrador,5.0
435,1986,Part-time employment ,Males,Nova Scotia,15.9
436,1986,Part-time employment ,Males,Ontario,214.0
437,1986,Part-time employment ,Males,Prince Edward Island,2.4
438,1986,Part-time employment ,Males,Quebec,144.7
439,1986,Part-time employment ,Males,Saskatchewan,28.7
440,1987,Full-time employment,Females,Alberta,368.2
441,1987,Full-time employment,Females,British Columbia,381.3
442,1987,Full-time employment,Females,Manitoba,152.2
443,1987,Full-time employment,Females,New Brunswick,85.3
444,1987,Full-time employment,Females,Newfoundland and Labrador,60.7
445,1987,Full-time employment,Females,Nova Scotia,107.1
446,1987,Full-time employment,Females,Ontario,1527.1
447,1987,Full-time employment,Females,Prince Edward Island,17.2
448,1987,Full-time employment,Females,Quebec,930.9
449,1987,Full-time employment,Females,Saskatchewan,129.0
450,1987,Full-time employment,Males,Alberta,600.6
451,1987,Full-time employment,Males,British Columbia,676.8
452,1987,Full-time employment,Males,Manitoba,250.3
453,1987,Full-time employment,Males,New Brunswick,142.6
454,1987,Full-time employment,Males,Newfoundland and Labrador,100.9
455,1987,Full-time employment,Males,Nova Scotia,185.0
456,1987,Full-time employment,Males,Ontario,2490.6
457,1987,Full-time employment,Males,Prince Edward Island,27.3
458,1987,Full-time employment,Males,Quebec,1589.1
459,1987,Full-time employment,Males,Saskatchewan,236.7
460,1987,Part-time employment ,Females,Alberta,143.7
461,1987,Part-time employment ,Females,British Columbia,187.3
462,1987,Part-time employment ,Females,Manitoba,69.7
463,1987,Part-time employment ,Females,New Brunswick,33.3
464,1987,Part-time employment ,Females,Newfoundland and Labrador,15.1
465,1987,Part-time employment ,Females,Nova Scotia,41.4
466,1987,Part-time employment ,Females,Ontario,559.5
467,1987,Part-time employment ,Females,Prince Edward Island,5.5
468,1987,Part-time employment ,Females,Quebec,308.8
469,1987,Part-time employment ,Females,Saskatchewan,65.6
470,1987,Part-time employment ,Males,Alberta,57.0
471,1987,Part-time employment ,Males,British Columbia,83.2
472,1987,Part-time employment ,Males,Manitoba,29.2
473,1987,Part-time employment ,Males,New Brunswick,13.8
474,1987,Part-time employment ,Males,Newfoundland and Labrador,7.1
475,1987,Part-time employment ,Males,Nova Scotia,17.8
476,1987,Part-time employment ,Males,Ontario,231.3
477,1987,Part-time employment ,Males,Prince Edward Island,3.2
478,1987,Part-time employment ,Males,Quebec,141.9
479,1987,Part-time employment ,Males,Saskatchewan,28.5
480,1988,Full-time employment,Females,Alberta,378.5
481,1988,Full-time employment,Females,British Columbia,416.8
482,1988,Full-time employment,Females,Manitoba,160.6
483,1988,Full-time employment,Females,New Brunswick,88.4
484,1988,Full-time employment,Females,Newfoundland and Labrador,63.3
485,1988,Full-time employment,Females,Nova Scotia,115.1
486,1988,Full-time employment,Females,Ontario,1625.3
487,1988,Full-time employment,Females,Prince Edward Island,17.3
488,1988,Full-time employment,Females,Quebec,959.9
489,1988,Full-time employment,Females,Saskatchewan,124.8
490,1988,Full-time employment,Males,Alberta,621.4
491,1988,Full-time employment,Males,British Columbia,738.6
492,1988,Full-time employment,Males,Manitoba,250.1
493,1988,Full-time employment,Males,New Brunswick,151.3
494,1988,Full-time employment,Males,Newfoundland and Labrador,107.4
495,1988,Full-time employment,Males,Nova Scotia,189.5
496,1988,Full-time employment,Males,Ontario,2576.3
497,1988,Full-time employment,Males,Prince Edward Island,27.2
498,1988,Full-time employment,Males,Quebec,1648.1
499,1988,Full-time employment,Males,Saskatchewan,234.5
500,1988,Part-time employment ,Females,Alberta,153.2
501,1988,Part-time employment ,Females,British Columbia,191.4
502,1988,Part-time employment ,Females,Manitoba,65.3
503,1988,Part-time employment ,Females,New Brunswick,36.1
504,1988,Part-time employment ,Females,Newfoundland and Labrador,16.8
505,1988,Part-time employment ,Females,Nova Scotia,41.5
506,1988,Part-time employment ,Females,Ontario,579.5
507,1988,Part-time employment ,Females,Prince Edward Island,6.1
508,1988,Part-time employment ,Females,Quebec,325.9
509,1988,Part-time employment ,Females,Saskatchewan,75.2
510,1988,Part-time employment ,Males,Alberta,54.6
511,1988,Part-time employment ,Males,British Columbia,77.5
512,1988,Part-time employment ,Males,Manitoba,28.9
513,1988,Part-time employment ,Males,New Brunswick,11.6
514,1988,Part-time employment ,Males,Newfoundland and Labrador,8.2
515,1988,Part-time employment ,Males,Nova Scotia,18.0
516,1988,Part-time employment ,Males,Ontario,248.6
517,1988,Part-time employment ,Males,Prince Edward Island,3.2
518,1988,Part-time employment ,Males,Quebec,136.8
519,1988,Part-time employment ,Males,Saskatchewan,29.0
520,1989,Full-time employment,Females,Alberta,387.3
521,1989,Full-time employment,Females,British Columbia,442.0
522,1989,Full-time employment,Females,Manitoba,155.9
